SERVICE,YEAR,MONTH,STATUS,ROW_COUNT,ERROR_MESSAGE,RUN_ID,INGESTED_AT_UTC
yellow,2023,12,ok,3376567,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2024,1,ok,2964624,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2024,2,ok,3007526,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2024,3,ok,3582628,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2024,4,ok,3514289,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2024,5,ok,3723833,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2024,6,ok,3539193,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2024,7,ok,3076903,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2024,8,ok,2979183,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2024,9,ok,3633030,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2024,10,ok,3833771,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2024,11,ok,3646369,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2024,12,ok,3668371,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2025,1,ok,3475226,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2025,2,ok,3577543,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2025,3,ok,4145257,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2025,4,ok,3970553,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2025,5,ok,4591845,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2025,6,ok,4322960,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2025,7,ok,3898963,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
yellow,2025,8,ok,3574091,,d30f00b1-0eb2-41c6-974c-4682af3efcd3,2025-10-04 05:45:37.335
